user_name,acc,total_auc,kappa,prec_macro,prec_weigt,recall_macro,recall_weigt,f1score_macro,f1score_weigt
1,0.963302752293578,0.888,0.8254603682946358,0.9428694157643704,0.9623411834992467,0.887593984929137,0.9633027522772917,0.9126602558741185,0.9620824506711334
2,0.926605504587156,0.714,0.5666003976143141,0.9611650484558787,0.9323060478909811,0.714285714265145,0.9266055045740498,0.7797979793035414,0.9134093220784667
3,0.963302752293578,0.888,0.8254603682946358,0.9428694157643704,0.9623411834992467,0.887593984929137,0.9633027522772917,0.9126602558741185,0.9620824506711334
4,0.963302752293578,0.918,0.8360902255639098,0.9180451127461903,0.9633027522767331,0.9180451127461903,0.9633027522767331,0.9180451122461902,0.9633027517767331
5,0.963302752293578,0.888,0.8254603682946358,0.9428694157643704,0.9623411834992467,0.887593984929137,0.9633027522772917,0.9126602558741185,0.9620824506711334
6,0.963302752293578,0.888,0.8254603682946358,0.9428694157643704,0.9623411834992467,0.887593984929137,0.9633027522772917,0.9126602558741185,0.9620824506711334
7,0.9357798165137615,0.75,0.6354515050167224,0.9656862744338097,0.9401870839816082,0.7499999999768797,0.9357798165,0.815566835362856,0.926217419817298
8,0.963302752293578,0.888,0.8254603682946358,0.9428694157643704,0.9623411834992467,0.887593984929137,0.9633027522772917,0.9126602558741185,0.9620824506711334
9,0.944954128440367,0.816,0.7200342465753424,0.9247474746976794,0.9431377999986152,0.8161654135056676,0.9449541284253914,0.8595360819450322,0.9409344551742533
10,0.9724770642201835,0.893,0.8647083160943319,0.98469387750062,0.9733196030502884,0.8928571428238185,0.9724770642038008,0.9322279787379708,0.9710395963837951
11,0.9724770642201835,0.893,0.8647083160943319,0.98469387750062,0.9733196030502884,0.8928571428238185,0.9724770642038008,0.9322279787379708,0.9710395963837951
12,0.963302752293578,0.888,0.8254603682946358,0.9428694157643704,0.9623411834992467,0.887593984929137,0.9633027522772917,0.9126602558741185,0.9620824506711334
13,0.963302752293578,0.888,0.8254603682946358,0.9428694157643704,0.9623411834992467,0.887593984929137,0.9633027522772917,0.9126602558741185,0.9620824506711334
14,0.963302752293578,0.888,0.8254603682946358,0.9428694157643704,0.9623411834992467,0.887593984929137,0.9633027522772917,0.9126602558741185,0.9620824506711334
15,0.981651376146789,0.929,0.9127301841473179,0.9896907216027695,0.982029698268589,0.9285714285355531,0.981651376129751,0.9563301276659775,0.9810412250763009
16,0.9541284403669725,0.882,0.7886777820860799,0.9074519230393332,0.9530037049934307,0.8823308270344556,0.9541284403507829,0.8943184016368781,0.9533990491407356
17,0.963302752293578,0.888,0.8254603682946358,0.9428694157643704,0.9623411834992467,0.887593984929137,0.9633027522772917,0.9126602558741185,0.9620824506711334
18,0.9174311926605505,0.77,0.5941249482829954,0.8330241187005569,0.9116100151318374,0.7699248120045701,0.9174311926464233,0.7966839372969547,0.9131187901879396
19,0.981651376146789,0.959,0.9180451127819549,0.9590225563526064,0.9816513761291921,0.9590225563526064,0.9816513761291921,0.9590225558526063,0.9816513756291921
20,0.926605504587156,0.867,0.6909992912827781,0.8276209677152482,0.9317475584346571,0.8665413533504113,0.9266055045712561,0.8453900703935878,0.928661591000566
21,0.9724770642201835,0.923,0.8732066692516479,0.9511217948311921,0.9719624793985981,0.9233082706408717,0.972477064203242,0.9365910407653577,0.9720394292770252
22,0.9541284403669725,0.821,0.7583148558758315,0.9749999999396944,0.9564220183260729,0.8214285714003491,0.9541284403519004,0.8784838344785302,0.9497304976806691
23,0.9724770642201835,0.893,0.8647083160943319,0.98469387750062,0.9733196030502884,0.8928571428238185,0.9724770642038008,0.9322279787379708,0.9710395963837951
24,0.9541284403669725,0.821,0.7583148558758315,0.9749999999396944,0.9564220183260729,0.8214285714003491,0.9541284403519004,0.8784838344785302,0.9497304976806691
25,0.9541284403669725,0.821,0.7583148558758315,0.9749999999396944,0.9564220183260729,0.8214285714003491,0.9541284403519004,0.8784838344785302,0.9497304976806691
26,0.963302752293578,0.888,0.8254603682946358,0.9428694157643704,0.9623411834992467,0.887593984929137,0.9633027522772917,0.9126602558741185,0.9620824506711334
27,0.963302752293578,0.888,0.8254603682946358,0.9428694157643704,0.9623411834992467,0.887593984929137,0.9633027522772917,0.9126602558741185,0.9620824506711334
28,0.963302752293578,0.888,0.8254603682946358,0.9428694157643704,0.9623411834992467,0.887593984929137,0.9633027522772917,0.9126602558741185,0.9620824506711334
29,0.963302752293578,0.888,0.8254603682946358,0.9428694157643704,0.9623411834992467,0.887593984929137,0.9633027522772917,0.9126602558741185,0.9620824506711334
30,0.9541284403669725,0.852,0.7745138601572197,0.9341372912339323,0.9527497404108046,0.8518796992174023,0.9541284403513416,0.8870466315909655,0.9517326609851766
31,0.9541284403669725,0.821,0.7583148558758315,0.9749999999396944,0.9564220183260729,0.8214285714003491,0.9541284403519004,0.8784838344785302,0.9497304976806691
